Turn,Germany|Inca,Germany|Iroquois,Germany|Korea,Germany|Morocco,Germany|Songhai,Inca|Germany,Inca|Iroquois,Inca|Korea,Inca|Morocco,Inca|Songhai|Diplomatic Opinion,Iroquois|Germany|Diplomatic Opinion,Iroquois|Inca|Diplomatic Opinion,Iroquois|Korea|Diplomatic Opinion,Iroquois|Morocco|Diplomatic Opinion,Iroquois|Songhai|Diplomatic Opinion,Korea|Germany|Diplomatic Opinion,Korea|Inca|Diplomatic Opinion,Korea|Iroquois|Diplomatic Opinion,Korea|Morocco|Diplomatic Opinion,Korea|Songhai|Diplomatic Opinion,Morocco|Germany|Diplomatic Opinion,Morocco|Inca|Diplomatic Opinion,Morocco|Iroquois|Diplomatic Opinion,Morocco|Korea|Diplomatic Opinion,Morocco|Songhai|Diplomatic Opinion,Songhai|Germany|Diplomatic Opinion,Songhai|Inca|Diplomatic Opinion,Songhai|Iroquois|Diplomatic Opinion,Songhai|Korea|Diplomatic Opinion,Songhai|Morocco|Diplomatic Opinion
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,neutral,None,None,None,None,None,None,None,None
6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,neutral,None,None,None,None,None,None,None,None
7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,neutral,None,None,None,None,None,neutral,None,None
8,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,neutral,None,None,None,None,None,neutral,None,None
9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,neutral,None,None,None,None,None,neutral,None,None,None,None,None,neutral,None,None
10,None,None,neutral,None,None,None,None,None,None,None,None,None,None,None,None,neutral,None,None,None,None,None,neutral,None,None,None,None,None,neutral,None,neutral
11,None,None,neutral,None,None,None,None,None,None,None,None,None,None,None,None,neutral,None,None,None,None,None,neutral,neutral,None,None,None,None,neutral,None,neutral
12,None,None,neutral,None,None,None,None,None,None,None,None,None,None,None,None,neutral,None,None,None,None,None,neutral,neutral,None,None,None,None,neutral,None,neutral
13,None,None,neutral,None,None,None,None,None,None,None,None,None,None,None,None,neutral,None,None,None,None,None,neutral,neutral,None,None,None,None,neutral,None,neutral
14,None,None,neutral,None,None,None,None,None,None,None,None,None,None,None,None,neutral,None,None,None,None,None,neutral,neutral,None,None,None,None,neutral,None,neutral
15,None,None,neutral,None,None,None,None,None,None,None,neutral,None,None,None,None,neutral,None,None,None,None,None,neutral,neutral,None,None,None,None,neutral,None,neutral
16,None,None,neutral,neutral,None,None,None,None,None,None,neutral,None,None,None,None,neutral,None,None,None,None,None,neutral,neutral,None,None,None,None,neutral,None,neutral
17,None,None,neutral,neutral,None,None,None,None,None,None,neutral,None,None,None,neutral,neutral,None,None,None,None,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral
18,None,None,neutral,neutral,neutral,None,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,None,None,None,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral
19,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,None,neutral,neutral,neutral,None,neutral,None,None,neutral,None,neutral
20,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,None,neutral,neutral,neutral,None,neutral,None,None,neutral,None,neutral
21,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,None,neutral,neutral,neutral,None,neutral,None,None,neutral,None,neutral
22,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,None,neutral,neutral,neutral,None,neutral,None,None,neutral,None,neutral
23,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,None,neutral,neutral,neutral,neutral,neutral,None,None,neutral,None,neutral
24,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,None,neutral,neutral,neutral,neutral,neutral,None,None,neutral,None,neutral
25,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,None,neutral,neutral,neutral,neutral,neutral,None,None,neutral,None,neutral
26,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,None,neutral
27,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,None,neutral
28,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,None,neutral
29,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,None,neutral
30,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,None,neutral
31,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,neutral
32,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,neutral
33,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,neutral
34,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,neutral
35,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,neutral
36,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,neutral
37,None,neutral,neutral,neutral,neutral,neutral,None,None,None,None,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,neutral
38,None,neutral,neutral,neutral,neutral,neutral,None,None,None,neutral,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,neutral
39,None,neutral,neutral,neutral,neutral,neutral,None,None,None,neutral,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral
40,None,neutral,neutral,neutral,neutral,neutral,None,None,None,neutral,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral
41,None,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral
42,None,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral
43,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral
44,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral
45,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral
46,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,None,neutral,neutral,None,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,None,neutral,neutral,neutral,neutral
