Turn,Germany|Inca|Diplomatic Stance,Germany|Iroquois|Diplomatic Stance,Germany|Korea|Diplomatic Stance,Germany|Morocco|Diplomatic Stance,Germany|Songhai|Diplomatic Stance,Inca|Germany|Diplomatic Stance,Inca|Iroquois|Diplomatic Stance,Inca|Korea|Diplomatic Stance,Inca|Morocco|Diplomatic Stance,Inca|Songhai|Diplomatic Stance,Iroquois|Germany|Diplomatic Stance,Iroquois|Inca|Diplomatic Stance,Iroquois|Korea|Diplomatic Stance,Iroquois|Morocco|Diplomatic Stance,Iroquois|Songhai|Diplomatic Stance,Korea|Germany|Diplomatic Stance,Korea|Inca|Diplomatic Stance,Korea|Iroquois|Diplomatic Stance,Korea|Morocco|Diplomatic Stance,Korea|Songhai|Diplomatic Stance,Morocco|Germany|Diplomatic Stance,Morocco|Inca|Diplomatic Stance,Morocco|Iroquois|Diplomatic Stance,Morocco|Korea|Diplomatic Stance,Morocco|Songhai|Diplomatic Stance,Songhai|Germany|Diplomatic Stance,Songhai|Inca|Diplomatic Stance,Songhai|Iroquois|Diplomatic Stance,Songhai|Korea|Diplomatic Stance,Songhai|Morocco|Diplomatic Stance
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,None,None,None,None,friendly,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,None,None,None,None,friendly,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,friendly,None,None,None,None
4,None,None,None,None,friendly,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,friendly,None,None,None,None
5,None,None,None,None,friendly,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,friendly,None,None,None,None
6,None,None,None,None,friendly,None,None,None,friendly,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,friendly,None,None,None,None
7,None,None,None,None,friendly,None,None,None,friendly,None,None,None,None,None,friendly,None,None,None,None,None,None,None,None,None,None,friendly,None,friendly,None,None
8,None,None,None,None,friendly,None,None,None,friendly,None,None,None,None,None,friendly,None,None,None,None,None,None,None,None,None,None,friendly,None,friendly,None,None
9,None,None,None,None,friendly,None,None,None,friendly,None,None,None,None,None,friendly,None,None,None,None,None,None,None,None,None,None,friendly,None,friendly,None,None
10,None,None,None,None,friendly,None,None,None,friendly,None,None,None,None,None,friendly,None,None,None,None,None,None,None,None,None,friendly,friendly,None,friendly,None,None
11,None,None,None,None,friendly,None,None,None,friendly,None,None,None,None,friendly,friendly,None,None,None,None,None,None,None,None,None,friendly,friendly,None,friendly,None,None
12,None,None,None,None,friendly,None,None,None,friendly,None,None,None,None,friendly,friendly,None,None,None,None,None,None,None,friendly,None,friendly,friendly,None,friendly,None,None
13,None,None,None,None,friendly,None,None,None,friendly,None,None,None,None,friendly,friendly,None,None,None,None,None,None,None,friendly,None,friendly,friendly,None,friendly,None,None
14,None,None,None,None,friendly,None,None,None,friendly,None,None,None,None,friendly,friendly,None,None,None,None,None,None,None,friendly,None,friendly,friendly,None,friendly,None,None
15,None,None,None,None,friendly,None,None,None,friendly,None,None,None,None,friendly,friendly,None,None,None,None,None,None,None,friendly,None,friendly,friendly,None,friendly,None,None
16,None,friendly,None,friendly,friendly,None,None,None,friendly,None,None,None,None,friendly,friendly,None,None,None,None,None,None,friendly,friendly,None,friendly,friendly,None,friendly,None,None
17,None,friendly,None,friendly,friendly,None,None,None,friendly,None,None,None,None,friendly,friendly,None,None,None,None,None,None,friendly,friendly,None,friendly,friendly,None,friendly,None,None
18,None,friendly,None,friendly,friendly,None,None,None,friendly,None,None,None,friendly,friendly,friendly,friendly,None,None,None,None,None,friendly,friendly,None,friendly,friendly,None,friendly,None,None
19,friendly,friendly,None,friendly,friendly,None,None,None,friendly,None,None,None,friendly,friendly,friendly,friendly,None,None,None,None,None,friendly,friendly,None,friendly,friendly,None,friendly,None,friendly
20,friendly,friendly,None,friendly,friendly,None,None,None,friendly,None,None,None,friendly,friendly,friendly,friendly,None,None,None,None,None,friendly,friendly,None,friendly,friendly,None,friendly,None,friendly
21,friendly,friendly,friendly,friendly,friendly,None,None,None,friendly,None,None,None,friendly,friendly,friendly,friendly,None,None,None,None,None,friendly,friendly,None,friendly,friendly,None,friendly,None,friendly
22,friendly,friendly,friendly,friendly,friendly,None,None,None,friendly,None,None,None,friendly,friendly,friendly,friendly,None,None,friendly,None,None,friendly,friendly,None,friendly,friendly,None,friendly,None,friendly
23,friendly,friendly,friendly,friendly,friendly,None,None,None,friendly,None,None,None,friendly,friendly,friendly,friendly,None,None,friendly,None,None,friendly,friendly,None,friendly,friendly,None,friendly,friendly,friendly
24,friendly,friendly,friendly,friendly,friendly,None,None,None,friendly,None,None,None,friendly,friendly,friendly,friendly,None,None,friendly,None,None,friendly,friendly,None,friendly,friendly,None,friendly,friendly,friendly
25,friendly,friendly,friendly,friendly,friendly,None,None,None,friendly,None,None,None,friendly,friendly,friendly,friendly,None,None,friendly,None,None,friendly,friendly,None,friendly,friendly,None,friendly,friendly,friendly
26,friendly,friendly,friendly,friendly,friendly,None,None,None,friendly,None,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,None,None,friendly,friendly,None,friendly,friendly,None,friendly,friendly,friendly
27,friendly,friendly,friendly,friendly,friendly,None,None,None,friendly,None,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,None,None,friendly,friendly,None,friendly,friendly,None,friendly,friendly,friendly
28,friendly,friendly,friendly,friendly,friendly,None,None,None,friendly,None,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,None,None,friendly,friendly,None,friendly,friendly,None,friendly,friendly,friendly
29,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,None,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,None,None,friendly,friendly,None,friendly,friendly,None,friendly,friendly,friendly
30,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,None,None,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly
31,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,None,None,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly
32,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,None,None,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly
33,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,None,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly
34,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,None,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly
35,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,None,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly
36,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,None,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly
37,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,None,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly
38,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly
39,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,None,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly
40,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly
41,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly
42,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly
43,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly
44,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly
45,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly
46,friendly,friendly,friendly,friendly,friendly,friendly,None,None,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,None,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly,friendly
