Turn	Civ1	Civ2	Value
5	Morocco	Inca	neutral
7	Songhai	Iroquois	neutral
9	Korea	Germany	neutral
10	Songhai	Morocco	neutral
10	Germany	Korea	neutral
11	Songhai	Morocco	neutral
11	Morocco	Iroquois	neutral
15	Iroquois	Germany	neutral
16	Morocco	Inca	neutral
16	Germany	Morocco	neutral
17	Morocco	Germany	neutral
17	Iroquois	Germany	neutral
17	Iroquois	Songhai	neutral
18	Germany	Songhai	neutral
18	Korea	Germany	neutral
18	Iroquois	Morocco	neutral
18	Songhai	Morocco	neutral
18	Iroquois	Korea	neutral
19	Songhai	Morocco	neutral
19	Germany	Iroquois	neutral
19	Inca	Germany	neutral
19	Morocco	Songhai	neutral
19	Korea	Iroquois	neutral
21	Songhai	Iroquois	neutral
23	Morocco	Korea	neutral
23	Morocco	Songhai	neutral
25	Iroquois	Morocco	neutral
26	Germany	Songhai	neutral
26	Korea	Songhai	neutral
26	Iroquois	Korea	neutral
27	Korea	Germany	neutral
27	Songhai	Iroquois	neutral
28	Songhai	Iroquois	neutral
29	Inca	Germany	neutral
31	Iroquois	Germany	neutral
31	Songhai	Korea	neutral
32	Morocco	Korea	neutral
32	Morocco	Iroquois	neutral
32	Iroquois	Morocco	neutral
33	Songhai	Korea	neutral
33	Korea	Songhai	neutral
33	Iroquois	Germany	neutral
33	Korea	Morocco	neutral
36	Germany	Songhai	neutral
37	Morocco	Songhai	neutral
37	Korea	Iroquois	neutral
38	Inca	Songhai	neutral
38	Morocco	Inca	neutral
38	Germany	Morocco	neutral
38	Germany	Iroquois	neutral
39	Songhai	Inca	neutral
39	Iroquois	Morocco	neutral
41	Inca	Iroquois	neutral
41	Morocco	Korea	neutral
42	Iroquois	Korea	neutral
43	Songhai	Morocco	neutral
43	Germany	Inca	neutral
43	Germany	Korea	neutral
43	Songhai	Iroquois	neutral
44	Inca	Iroquois	neutral
44	Morocco	Iroquois	neutral
45	Morocco	Germany	neutral
45	Iroquois	Songhai	neutral
46	Inca	Songhai	neutral
46	Morocco	Songhai	neutral
46	Korea	Iroquois	neutral
46	Inca	Songhai	neutral
47	Songhai	Korea	neutral
47	Iroquois	Germany	neutral
47	Iroquois	Songhai	neutral
48	Inca	Songhai	neutral
48	Morocco	Iroquois	neutral
48	Morocco	Korea	neutral
49	Germany	Morocco	neutral
49	Inca	Iroquois	neutral
49	Morocco	Inca	neutral
49	Iroquois	Inca	neutral
49	Korea	Inca	neutral
50	Inca	Morocco	neutral
50	Germany	Songhai	neutral
51	Inca	Korea	neutral
52	Korea	Inca	neutral
52	Morocco	Iroquois	neutral
53	Korea	Inca	neutral
53	Iroquois	Morocco	neutral
54	Songhai	Korea	neutral
54	Inca	Songhai	neutral
54	Germany	Korea	neutral
54	Korea	Songhai	neutral
54	Korea	Germany	neutral
55	Morocco	Songhai	neutral
55	Korea	Morocco	neutral
55	Songhai	Inca	neutral
55	Iroquois	Germany	neutral
56	Iroquois	Songhai	neutral
57	Songhai	Germany	neutral
57	Songhai	Iroquois	neutral
58	Korea	Iroquois	neutral
59	Korea	Morocco	neutral
59	Songhai	Morocco	neutral
59	Germany	Inca	neutral
59	Morocco	Songhai	neutral
59	Morocco	Germany	neutral
59	Morocco	Korea	neutral
59	Korea	Inca	neutral
60	Germany	Korea	neutral
60	Morocco	Iroquois	neutral
60	Germany	Iroquois	neutral
60	Songhai	Inca	neutral
60	Korea	Morocco	neutral
60	Iroquois	Morocco	neutral
61	Morocco	Germany	neutral
61	Songhai	Korea	neutral
61	Iroquois	Songhai	neutral
62	Iroquois	Inca	neutral
63	Songhai	Iroquois	neutral
65	Inca	Iroquois	neutral
65	Korea	Germany	neutral
66	Korea	Morocco	neutral
66	Iroquois	Korea	neutral
67	Morocco	Songhai	neutral
67	Germany	Inca	neutral
67	Iroquois	Morocco	neutral
68	Korea	Songhai	neutral
68	Korea	Songhai	neutral
69	Inca	Germany	neutral
69	Inca	Morocco	neutral
70	Songhai	Iroquois	neutral
71	Morocco	Inca	neutral
71	Korea	Morocco	neutral
71	Germany	Iroquois	neutral
72	Korea	Songhai	neutral
73	Germany	Morocco	neutral
73	Inca	Iroquois	neutral
73	Morocco	Songhai	neutral
73	Inca	Morocco	neutral
74	Germany	Songhai	neutral
74	Iroquois	Korea	neutral
75	Songhai	Inca	neutral
75	Iroquois	Inca	neutral
75	Songhai	Morocco	neutral
75	Songhai	Germany	neutral
75	Songhai	Korea	neutral
75	Germany	Inca	neutral
75	Korea	Songhai	neutral
76	Morocco	Iroquois	neutral
76	Germany	Korea	neutral
77	Songhai	Iroquois	neutral
77	Morocco	Korea	neutral
77	Korea	Morocco	neutral
79	Germany	Morocco	neutral
79	Korea	Inca	neutral
79	Iroquois	Germany	neutral
81	Inca	Songhai	neutral
81	Germany	Korea	neutral
81	Iroquois	Morocco	neutral
82	Inca	Korea	neutral
82	Morocco	Inca	neutral
82	Songhai	Germany	neutral
