Turn	Civ1	Civ2	Value
2	Germany	Songhai	friendly
3	Songhai	Germany	friendly
3	Korea	Mombasa	neutral
6	Inca	Morocco	friendly
6	Germany	Ife	neutral
6	Korea	Bogota	neutral
7	Songhai	Iroquois	friendly
7	Iroquois	Songhai	friendly
10	Morocco	Songhai	friendly
10	Germany	Songhai	friendly
11	Iroquois	Morocco	friendly
12	Songhai	Germany	friendly
12	Morocco	Iroquois	friendly
14	Iroquois	Bogota	neutral
15	Morocco	Kathmandu	friendly
16	Morocco	Inca	friendly
16	Germany	Morocco	friendly
16	Iroquois	Songhai	friendly
16	Germany	Iroquois	friendly
17	Inca	Morocco	friendly
17	Iroquois	Songhai	friendly
18	Morocco	Songhai	friendly
18	Korea	Germany	friendly
18	Iroquois	Korea	friendly
18	Germany	Mombasa	neutral
19	Iroquois	Korea	friendly
19	Songhai	Morocco	friendly
19	Germany	Inca	friendly
19	Morocco	Ife	neutral
19	Iroquois	Ife	friendly
21	Songhai	Germany	friendly
21	Songhai	Iroquois	friendly
21	Germany	Korea	friendly
22	Korea	Morocco	friendly
22	Inca	Kathmandu	neutral
23	Germany	Morocco	friendly
23	Songhai	Korea	friendly
23	Germany	Singapore	neutral
23	Iroquois	Singapore	friendly
24	Korea	Bogota	neutral
25	Korea	Morocco	friendly
25	Inca	Florence	neutral
25	Germany	Yerevan	neutral
26	Songhai	Korea	friendly
26	Korea	Iroquois	friendly
26	Iroquois	Korea	friendly
26	Morocco	Kathmandu	friendly
27	Germany	Korea	friendly
27	Morocco	Inca	friendly
27	Korea	Iroquois	friendly
27	Germany	Iroquois	friendly
27	Korea	Germany	friendly
27	Songhai	Kyzyl	neutral
28	Songhai	Iroquois	friendly
28	Inca	Morocco	friendly
28	Morocco	Songhai	friendly
28	Korea	Iroquois	friendly
28	Songhai	Singapore	neutral
28	Iroquois	Bogota	neutral
29	Inca	Germany	friendly
30	Songhai	Inca	friendly
30	Inca	Songhai	friendly
30	Germany	Morocco	friendly
32	Iroquois	Morocco	friendly
33	Korea	Songhai	friendly
34	Germany	Songhai	friendly
34	Iroquois	Korea	friendly
34	Germany	Songhai	friendly
35	Morocco	Inca	friendly
35	Morocco	Yerevan	neutral
35	Germany	Singapore	neutral
36	Germany	Kathmandu	neutral
37	Morocco	Songhai	friendly
37	Germany	Morocco	friendly
37	Iroquois	Songhai	friendly
37	Iroquois	Budapest	friendly
38	Germany	Inca	friendly
38	Morocco	Germany	friendly
38	Germany	Iroquois	friendly
38	Germany	Panama City	neutral
39	Songhai	Inca	friendly
39	Inca	Morocco	friendly
39	Morocco	Songhai	friendly
39	Inca	Germany	friendly
39	Songhai	Singapore	neutral
39	Iroquois	Ife	friendly
40	Korea	Songhai	friendly
40	Iroquois	Inca	friendly
41	Morocco	Korea	friendly
41	Songhai	Panama City	aggressive
41	Germany	Florence	neutral
42	Germany	Songhai	friendly
42	Songhai	Germany	friendly
42	Iroquois	Korea	friendly
42	Songhai	Kathmandu	neutral
42	Inca	Florence	neutral
43	Songhai	Morocco	friendly
43	Germany	Korea	friendly
43	Songhai	Budapest	neutral
44	Korea	Morocco	friendly
44	Iroquois	Germany	friendly
45	Morocco	Germany	friendly
45	Korea	Germany	friendly
45	Songhai	Mombasa	friendly
46	Morocco	Germany	friendly
46	Korea	Iroquois	friendly
46	Inca	Mombasa	neutral
46	Germany	Kyzyl	neutral
47	Korea	Songhai	friendly
47	Iroquois	Songhai	friendly
47	Iroquois	Panama City	friendly
48	Iroquois	Kyzyl	friendly
49	Morocco	Inca	friendly
49	Germany	Iroquois	friendly
49	Korea	Inca	friendly
50	Inca	Korea	friendly
50	Morocco	Korea	friendly
50	Germany	Songhai	friendly
50	Songhai	Singapore	neutral
50	Inca	Kathmandu	neutral
50	Morocco	Florence	friendly
50	Korea	Budapest	friendly
51	Germany	Morocco	friendly
51	Iroquois	Inca	friendly
51	Korea	Yerevan	friendly
52	Morocco	Germany	friendly
52	Morocco	Iroquois	friendly
52	Morocco	Bogota	neutral
52	Iroquois	Kathmandu	friendly
53	Iroquois	Morocco	friendly
53	Inca	Ife	neutral
54	Inca	Songhai	friendly
54	Morocco	Songhai	friendly
54	Germany	Korea	friendly
54	Iroquois	Morocco	friendly
55	Morocco	Songhai	friendly
55	Korea	Iroquois	friendly
55	Morocco	Yerevan	neutral
55	Korea	Singapore	friendly
55	Korea	Ife	friendly
55	Korea	Kyzyl	friendly
56	Songhai	Iroquois	friendly
56	Iroquois	Bogota	friendly
57	Songhai	Germany	friendly
57	Korea	Inca	friendly
57	Iroquois	Songhai	friendly
57	Germany	Mombasa	friendly
57	Germany	Ife	friendly
58	Inca	Korea	friendly
58	Germany	Morocco	friendly
58	Inca	Morocco	friendly
58	Iroquois	Korea	neutral
59	Morocco	Germany	friendly
59	Germany	Iroquois	friendly
59	Germany	Inca	friendly
59	Korea	Inca	friendly
59	Inca	Florence	neutral
59	Morocco	Kathmandu	friendly
59	Germany	Singapore	friendly
59	Iroquois	Ife	friendly
60	Morocco	Inca	friendly
60	Morocco	Iroquois	friendly
60	Germany	Iroquois	friendly
60	Korea	Mombasa	friendly
61	Songhai	Korea	friendly
61	Inca	Songhai	friendly
62	Iroquois	Inca	friendly
62	Songhai	Ife	neutral
63	Songhai	Iroquois	friendly
63	Songhai	Mombasa	neutral
63	Songhai	Budapest	neutral
63	Iroquois	Kyzyl	friendly
64	Korea	Iroquois	neutral
64	Songhai	Kathmandu	neutral
64	Inca	Kathmandu	neutral
64	Inca	Panama City	neutral
65	Germany	Iroquois	friendly
65	Germany	Kyzyl	neutral
65	Korea	Florence	friendly
66	Songhai	Inca	friendly
66	Iroquois	Morocco	friendly
66	Songhai	Germany	friendly
66	Inca	Korea	friendly
66	Songhai	Iroquois	friendly
66	Morocco	Germany	friendly
66	Korea	Iroquois	neutral
66	Korea	Morocco	friendly
66	Songhai	Korea	friendly
66	Iroquois	Korea	neutral
66	Iroquois	Kathmandu	friendly
67	Songhai	Morocco	friendly
67	Germany	Inca	neutral
68	Morocco	Korea	friendly
70	Germany	Mombasa	neutral
71	Germany	Iroquois	friendly
71	Morocco	Singapore	friendly
71	Iroquois	Singapore	friendly
72	Germany	Iroquois	friendly
72	Germany	Morocco	friendly
72	Korea	Germany	friendly
72	Iroquois	Florence	friendly
73	Inca	Iroquois	friendly
73	Morocco	Songhai	friendly
73	Inca	Korea	friendly
73	Iroquois	Inca	friendly
73	Korea	Kathmandu	neutral
